EmployeeNumber,Attrition,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,BusinessTravel,PerformanceIndex,JobInvolvement,JobLevel,PerformanceRating,MonthlyAchievement,MonthlyIncome,Incentive,StockOptionLevel,DistanceFromHome,OverTime,StandardHours,RemoteWork,FlexibleWork,WorkLifeBalance,StressRating,StressSelfReported,ExtendedLeave,WelfareBenefits,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HowToEmploy,InHouseFacility,ExternalFacility
15,No,29,Female,Single,2,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,49,2,2,2,12682,5449,0,0,15,4,40,3,1,3,2,2,0,3,3,4,3,4,0,10,9,5,0,8,agent_B,1,0
16,No,31,Male,Divorced,1,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,31,3,1,2,15170,11086,3325,1,26,43,40,4,0,2,3,1,0,2,1,1,3,4,1,5,5,2,4,3,agent_B,0,0
18,No,34,Male,Divorced,2,Medical,Research & Development,Laboratory Technician,Travel_Rarely,93,3,1,1,8758,7020,0,1,19,20,40,3,1,3,2,1,0,3,2,2,4,3,0,3,2,2,1,2,agent_A,1,1
19,Yes,28,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,50,2,1,3,12947,6743,0,0,24,23,40,0,1,3,2,1,0,2,4,3,3,2,5,6,4,2,0,3,intern,1,0
20,No,29,Female,Divorced,4,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,51,4,3,1,10195,6608,0,1,21,16,40,2,0,3,3,2,0,1,1,2,1,3,1,10,10,9,8,8,agent_A,0,0
21,No,32,Male,Divorced,2,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,80,4,1,1,15053,6949,0,2,5,11,40,1,0,2,3,2,0,1,5,1,2,4,0,7,6,2,0,5,agent_B,0,0
22,No,22,Male,Divorced,2,Medical,Research & Development,Laboratory Technician,Non-Travel,96,4,1,2,7324,5741,1583,2,16,31,40,4,1,2,2,2,0,3,2,4,4,2,1,1,1,0,0,0,direct_recruiting,1,1
23,No,53,Female,Married,4,Life Sciences,Sales,Manager,Travel_Rarely,78,2,4,3,22021,5467,2596,0,2,7,40,2,1,3,3,3,1,3,3,1,4,3,2,31,25,8,3,7,intern,1,0
24,No,38,Male,Single,3,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,45,3,1,1,4306,7308,0,0,2,16,40,2,0,3,2,3,0,1,3,4,4,3,5,6,3,2,1,2,intern,0,0
26,No,24,Female,Divorced,2,Other,Research & Development,Manufacturing Director,Non-Travel,96,4,2,3,8232,6702,1530,1,11,28,40,3,0,2,2,3,0,1,5,1,3,4,0,5,4,2,1,3,intern,0,0
27,Yes,36,Male,Single,4,Life Sciences,Sales,Sales Representative,Travel_Rarely,82,2,1,4,6986,8555,0,0,9,3,40,4,1,3,1,2,1,4,4,3,1,2,7,10,5,3,0,3,agent_B,1,1
28,No,34,Female,Single,4,Life Sciences,Research & Development,Research Director,Travel_Rarely,53,3,3,1,21293,9185,0,0,7,8,40,1,1,3,4,2,0,3,4,1,2,3,0,13,12,6,2,11,agent_C,1,0
30,No,21,Male,Single,2,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,96,3,1,3,19281,9793,4651,0,15,5,40,5,1,3,2,2,0,3,6,3,4,4,1,0,0,0,0,0,intern,1,1
31,No,34,Male,Single,1,Medical,Research & Development,Research Scientist,Travel_Rarely,83,3,1,1,17102,6505,0,0,6,34,40,0,1,3,1,1,1,4,2,2,1,3,2,8,4,2,1,3,agent_B,1,1
32,No,53,Female,Divorced,3,Other,Research & Development,Manager,Travel_Rarely,58,3,5,1,10735,4083,0,1,5,15,40,2,0,2,3,2,0,1,3,3,3,4,4,26,14,13,4,8,intern,0,0
33,Yes,32,Female,Single,1,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,72,1,1,4,4681,6014,0,0,16,3,40,3,0,3,2,3,0,2,5,2,1,2,1,10,10,2,6,7,intern,0,0
35,No,42,Male,Married,4,Marketing,Sales,Sales Executive,Travel_Rarely,48,3,2,1,21173,8599,0,1,8,3,40,2,1,3,1,1,1,4,2,3,2,4,0,10,9,7,4,2,intern,1,1
36,No,44,Female,Married,4,Medical,Research & Development,Healthcare Representative,Travel_Rarely,42,2,3,3,2094,7927,0,1,7,22,40,3,1,3,2,2,1,4,4,1,4,4,3,24,22,6,5,17,intern,1,0
38,No,46,Female,Single,4,Marketing,Sales,Manager,Travel_Rarely,83,3,5,2,22822,5341,1602,0,2,4,40,2,0,2,3,2,0,1,2,2,1,4,3,22,2,2,2,1,direct_recruiting,1,0
39,No,33,Male,Single,3,Medical,Research & Development,Laboratory Technician,Travel_Rarely,78,3,1,1,6670,7929,0,0,2,17,40,1,0,3,2,1,0,2,3,3,4,4,4,7,1,1,0,0,agent_B,1,0
40,No,44,Male,Married,4,Other,Research & Development,Healthcare Representative,Travel_Rarely,41,3,2,1,19121,9197,0,0,10,24,40,3,0,4,3,2,0,2,5,4,4,4,2,9,4,2,1,3,agent_B,0,0
41,No,30,Male,Single,2,Medical,Research & Development,Laboratory Technician,Travel_Rarely,83,2,1,2,16117,9249,0,0,9,8,40,4,1,3,2,2,1,4,5,4,3,1,1,10,10,0,1,8,intern,1,1
42,Yes,39,Male,Married,3,Technical Degree,Sales,Sales Representative,Travel_Rarely,56,3,2,2,3335,9253,0,1,5,24,40,3,1,4,2,1,0,3,6,4,4,3,3,19,1,0,0,0,agent_C,1,0
45,Yes,24,Male,Married,3,Medical,Research & Development,Research Scientist,Travel_Rarely,61,3,1,3,3020,4063,0,1,1,35,40,2,0,2,4,4,0,1,2,2,4,1,2,6,2,0,2,0,intern,0,0
46,No,43,Female,Divorced,2,Medical,Research & Development,Research Scientist,Travel_Rarely,72,4,1,2,21923,5921,1776,2,2,8,40,3,1,2,2,1,0,3,3,4,3,4,1,6,5,3,1,4,intern,1,0
47,Yes,50,Male,Married,2,Marketing,Sales,Sales Representative,Travel_Rarely,86,2,1,3,3810,6355,0,0,3,39,40,2,1,3,2,1,1,4,2,1,3,3,1,3,3,2,0,2,intern,1,1
49,No,35,Female,Married,3,Marketing,Sales,Sales Representative,Travel_Rarely,97,3,1,2,9687,6321,1896,0,2,10,40,3,1,3,2,1,1,4,3,4,4,1,1,2,2,2,2,2,intern,1,1
51,No,36,Female,Married,4,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,82,2,1,3,13072,8121,3857,1,5,0,40,2,1,4,1,1,1,3,3,2,1,4,9,6,1,1,0,0,intern,1,1
52,No,33,Female,Married,3,Life Sciences,Sales,Sales Executive,Travel_Frequently,42,4,2,4,3193,2646,547,2,1,14,40,2,0,3,3,3,0,2,3,3,1,1,2,10,5,3,1,3,intern,0,0
53,No,35,Male,Divorced,2,Other,Research & Development,Laboratory Technician,Travel_Rarely,75,3,1,2,10910,9161,1749,1,4,34,40,3,0,3,3,2,0,1,3,3,4,3,1,1,1,0,0,0,intern,0,0
54,No,27,Female,Divorced,4,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,33,3,1,1,19715,8175,0,1,2,1,40,1,0,3,2,2,0,2,6,4,1,4,1,1,1,0,0,0,agent_B,1,0
55,Yes,26,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,48,1,1,2,10558,6815,0,0,25,8,40,4,0,2,4,4,0,1,2,1,3,3,1,1,1,0,0,1,direct_recruiting,0,0
56,No,27,Male,Single,3,Life Sciences,Sales,Sales Executive,Travel_Frequently,37,3,3,2,2975,11317,0,0,8,6,40,2,0,3,2,2,0,3,0,4,3,4,1,9,9,8,1,7,agent_B,1,0
57,No,30,Female,Single,2,Medical,Research & Development,Laboratory Technician,Travel_Frequently,58,3,2,4,10781,9574,1207,0,1,11,40,4,1,3,2,2,0,3,2,3,4,4,1,12,12,8,3,7,intern,0,0
58,Yes,41,Female,Married,3,Technical Degree,Research & Development,Research Director,Travel_Rarely,49,3,5,2,16280,2317,0,0,12,18,40,3,0,3,4,3,0,1,0,2,3,4,1,23,22,15,15,8,intern,0,0
60,No,34,Male,Single,4,Marketing,Sales,Sales Executive,Non-Travel,72,3,2,4,10034,9486,548,0,23,7,40,5,1,3,2,3,1,4,2,2,3,3,0,10,9,5,8,7,intern,1,1
61,No,37,Male,Married,2,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,73,3,1,4,10227,5773,2886,0,19,35,40,3,1,3,3,2,0,2,1,2,2,1,4,8,1,0,0,0,intern,0,0
62,No,46,Male,Single,4,Marketing,Sales,Sales Executive,Travel_Frequently,98,3,2,4,20445,9734,4867,0,5,23,40,4,0,3,3,3,0,2,4,1,4,3,4,14,9,6,0,8,intern,1,0
63,No,35,Male,Married,1,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,36,4,1,3,4892,2663,1264,0,8,12,40,4,1,3,1,1,1,4,2,4,4,4,1,1,1,0,0,1,agent_B,1,1
64,No,48,Male,Single,2,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,98,2,3,1,19294,7836,0,0,1,1,40,1,1,3,2,2,1,3,2,1,3,4,9,23,1,0,0,0,agent_B,1,1
65,Yes,28,Male,Single,4,Technical Degree,Research & Development,Laboratory Technician,Travel_Rarely,50,3,1,2,11179,9119,0,0,5,0,40,2,0,2,2,5,0,2,3,3,3,3,1,2,2,2,2,2,intern,1,0
68,No,44,Female,Divorced,5,Marketing,Sales,Sales Executive,Travel_Rarely,75,3,2,3,4009,11563,0,1,1,30,40,1,0,2,3,3,1,1,2,2,1,3,5,9,4,3,1,3,agent_C,0,0
70,No,35,Male,Married,2,Medical,Research & Development,Healthcare Representative,Non-Travel,79,2,3,2,8302,4761,0,1,11,8,40,3,1,3,2,4,1,4,3,3,1,3,2,10,4,0,2,3,intern,1,1
72,No,26,Female,Married,3,Marketing,Sales,Sales Executive,Travel_Rarely,47,2,2,4,21436,4976,2488,1,23,38,40,5,1,2,2,2,0,3,2,3,4,3,7,5,2,2,0,0,intern,0,0
73,No,33,Female,Single,2,Life Sciences,Research & Development,Research Director,Travel_Frequently,98,3,3,2,15146,3692,0,0,1,0,40,2,0,3,3,1,0,2,1,1,4,3,1,15,15,14,8,12,intern,0,0
74,No,35,Male,Married,5,Life Sciences,Sales,Sales Executive,Travel_Frequently,71,3,3,4,11031,9590,1441,1,18,22,40,3,0,2,3,3,0,2,3,2,1,4,1,9,9,8,1,8,agent_A,0,0
75,No,35,Female,Married,4,Medical,Research & Development,Laboratory Technician,Travel_Rarely,30,3,1,3,16002,5778,2744,1,23,1,40,3,1,3,4,2,0,3,3,3,1,3,3,4,2,2,2,2,intern,1,0
76,No,31,Male,Divorced,4,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,48,3,2,4,9528,7666,1862,1,7,25,40,5,1,2,2,3,0,4,3,4,4,4,3,10,7,7,1,7,intern,1,1
77,No,37,Male,Divorced,4,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,51,2,2,3,2689,7875,0,1,1,3,40,3,0,4,2,1,0,2,2,1,3,3,1,7,7,5,0,7,agent_B,1,0
78,No,32,Male,Married,3,Medical,Research & Development,Manufacturing Director,Travel_Rarely,33,3,2,4,10877,5012,2506,1,1,22,40,5,0,3,3,1,0,1,3,1,4,2,1,9,9,8,7,8,New_graduate_recruitment,0,0
79,No,38,Female,Single,5,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,50,3,2,1,5456,8293,0,0,29,33,40,5,1,3,3,2,0,3,2,4,4,4,1,10,10,3,9,9,direct_recruiting,0,0
80,No,50,Female,Divorced,2,Medical,Research & Development,Research Director,Travel_Rarely,43,2,5,2,16701,6949,2084,1,7,25,40,2,0,2,3,3,1,2,2,2,3,4,5,29,27,3,13,8,intern,0,0
81,No,59,Female,Single,3,Life Sciences,Sales,Sales Executive,Travel_Rarely,99,3,3,1,2354,7031,0,0,25,16,40,3,0,2,3,4,0,1,3,1,1,4,7,28,21,16,7,9,intern,0,0
83,No,36,Female,Divorced,3,Technical Degree,Research & Development,Healthcare Representative,Travel_Rarely,59,3,3,2,8202,4611,1383,3,8,12,40,2,1,3,2,3,0,3,2,3,3,2,1,17,17,14,12,8,intern,1,0
84,No,55,Female,Divorced,3,Medical,Research & Development,Manager,Travel_Rarely,33,3,4,3,19730,3672,1744,3,8,19,40,3,0,3,2,2,0,1,2,4,3,3,2,21,5,0,0,2,intern,0,0
85,No,36,Male,Single,3,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,95,2,2,2,22656,8181,2454,0,11,23,40,2,0,3,3,1,0,1,3,2,2,3,1,6,6,5,0,3,agent_A,0,0
86,No,45,Male,Divorced,3,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,59,3,3,3,18787,6784,3222,1,7,6,40,1,0,3,3,2,0,1,2,2,1,3,2,25,1,0,0,0,agent_C,0,0
88,No,35,Male,Married,3,Medical,Research & Development,Research Scientist,Travel_Frequently,79,3,1,2,5868,8676,0,1,1,23,40,1,0,2,3,3,0,2,2,2,1,4,4,5,3,2,1,2,intern,0,0
90,Yes,36,Male,Married,3,Medical,Research & Development,Research Scientist,Travel_Rarely,79,2,1,3,21777,11464,4585,1,9,20,40,2,1,2,2,2,1,3,0,4,3,1,0,2,1,0,0,0,New_graduate_recruitment,1,0
91,No,59,Female,Single,1,Life Sciences,Sales,Sales Executive,Travel_Frequently,57,2,2,1,24668,5429,0,0,1,12,40,1,0,2,3,3,0,1,2,1,3,4,7,20,4,3,1,3,agent_B,0,0
94,No,29,Male,Married,3,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,76,3,1,4,4956,5530,0,1,2,28,40,3,1,3,2,2,1,4,3,3,2,4,0,6,5,4,0,4,agent_C,1,1
95,No,31,Male,Single,4,Medical,Research & Development,Research Scientist,Travel_Rarely,87,3,1,3,18775,11040,5244,0,1,0,40,1,0,3,2,3,0,1,4,3,2,2,1,1,1,1,1,0,intern,1,0
96,No,32,Male,Married,3,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,66,3,2,3,7346,8264,0,2,1,12,40,3,0,3,4,4,0,2,3,2,2,2,1,10,10,4,0,9,intern,0,0
97,No,36,Female,Married,3,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,55,4,1,2,22002,5850,1755,0,6,19,40,4,1,3,3,3,0,2,3,2,4,2,3,5,1,0,0,0,direct_recruiting,0,0
98,No,31,Female,Divorced,4,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,61,3,2,4,20682,7715,0,0,8,12,40,5,1,3,2,3,0,3,2,3,4,4,1,11,11,7,1,8,intern,1,1
100,No,35,Male,Single,4,Marketing,Sales,Sales Executive,Travel_Rarely,32,2,2,3,23016,4525,0,0,1,24,40,2,1,3,2,1,0,4,2,3,1,2,0,16,15,13,2,8,intern,1,1
101,No,45,Male,Married,4,Other,Research & Development,Research Director,Travel_Rarely,52,3,3,3,15067,8366,3973,0,6,8,40,1,0,4,2,1,0,1,3,4,1,2,4,17,0,0,0,0,agent_A,0,0
102,No,37,Male,Single,4,Medical,Research & Development,Research Director,Travel_Rarely,30,3,3,2,25258,8639,0,0,7,7,40,3,0,4,3,2,0,1,3,1,3,1,4,16,5,2,0,2,intern,0,0
103,No,46,Male,Divorced,2,Medical,Human Resources,Human Resources,Travel_Rarely,80,3,2,4,10425,6197,3098,1,5,13,40,3,0,3,3,2,0,2,2,2,2,4,8,16,4,2,0,2,New_graduate_recruitment,0,0
104,No,30,Male,Married,1,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,55,2,2,2,15998,6652,0,2,1,31,40,2,1,2,2,1,1,4,1,4,4,3,1,10,10,8,3,0,intern,1,0
105,No,35,Male,Single,3,Medical,Research & Development,Research Scientist,Travel_Rarely,30,2,1,3,26278,3227,1532,0,1,0,40,4,0,3,2,1,0,3,3,2,3,1,1,6,6,4,0,4,agent_A,0,1
106,No,55,Male,Married,2,Life Sciences,Sales,Sales Executive,Travel_Rarely,70,3,3,3,18092,3794,1802,1,1,20,40,3,1,3,2,2,0,3,4,1,4,4,3,24,1,0,1,0,intern,1,0
107,No,38,Female,Divorced,3,Medical,Research & Development,Research Scientist,Non-Travel,79,1,2,1,15717,6540,0,3,6,6,40,3,1,3,2,3,1,4,3,2,4,4,7,17,13,11,1,9,agent_B,1,1
110,No,34,Male,Married,2,Medical,Research & Development,Manufacturing Director,Travel_Rarely,94,3,2,3,17736,6466,3071,0,1,21,40,2,0,3,3,3,0,1,2,1,2,3,1,5,5,2,1,3,intern,0,0
112,No,56,Male,Single,3,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,49,1,3,1,21698,10745,0,0,7,5,40,2,0,2,2,2,0,1,3,4,4,1,4,37,6,4,0,2,intern,0,0
113,No,23,Male,Divorced,1,Technical Degree,Sales,Sales Representative,Travel_Rarely,62,3,1,3,9518,8484,1034,1,2,13,40,1,0,3,2,2,0,2,3,3,1,3,3,3,0,0,0,0,direct_recruiting,1,0
116,No,51,Male,Married,4,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,96,3,1,4,18725,8988,4494,2,9,25,40,4,1,3,2,1,0,4,4,4,4,2,3,10,4,2,0,3,intern,1,1
117,No,30,Male,Married,3,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,99,2,2,4,15830,6972,3486,3,2,29,40,4,1,3,2,2,1,4,3,3,4,1,1,11,11,10,10,8,intern,1,1
118,Yes,46,Male,Single,2,Medical,Sales,Sales Executive,Travel_Rarely,64,2,3,3,13596,6063,2425,0,9,29,40,3,1,3,1,1,0,4,3,3,4,4,1,9,9,8,4,7,intern,1,1
119,No,40,Male,Married,4,Life Sciences,Research & Development,Healthcare Representative,Travel_Frequently,78,2,4,4,14115,7341,3670,1,1,12,40,3,1,2,3,2,0,4,3,3,2,4,1,22,22,3,11,11,intern,1,0
120,No,51,Male,Single,4,Marketing,Sales,Sales Executive,Travel_Rarely,71,3,2,4,8423,7882,541,0,21,0,40,5,1,1,3,3,0,3,2,3,4,4,0,11,10,7,1,0,intern,1,1
121,No,30,Female,Divorced,2,Medical,Sales,Sales Executive,Travel_Rarely,63,2,2,2,19760,5581,1674,3,4,46,40,2,0,2,3,2,1,2,4,3,2,2,1,11,11,8,2,7,intern,0,0
124,No,46,Male,Married,3,Medical,Research & Development,Healthcare Representative,Travel_Frequently,40,2,3,2,3142,8744,0,1,1,12,40,1,1,2,2,2,0,4,5,3,1,3,2,21,10,9,9,5,intern,1,0
125,No,32,Male,Single,4,Medical,Sales,Sales Executive,Travel_Rarely,87,3,2,3,24301,6143,2917,0,6,15,40,2,0,3,3,2,0,2,0,2,3,1,1,12,11,8,5,7,agent_A,1,0
126,No,54,Female,Married,4,Technical Degree,Research & Development,Research Director,Travel_Rarely,60,3,3,2,24001,7917,2375,1,2,2,40,1,0,1,3,2,0,1,5,1,3,1,9,16,4,3,0,3,intern,0,0
128,No,24,Female,Married,2,Other,Sales,Sales Executive,Travel_Rarely,33,3,2,3,17519,3465,0,1,3,12,40,2,0,2,4,4,1,1,2,1,3,1,0,4,3,2,0,2,agent_C,0,0
129,No,28,Male,Married,3,Medical,Sales,Sales Executive,Non-Travel,43,3,2,3,8863,6277,0,0,4,9,40,4,1,4,2,2,1,4,3,2,3,2,1,5,5,4,0,4,intern,1,1
131,No,58,Male,Single,4,Medical,Sales,Sales Executive,Travel_Rarely,37,3,4,2,24409,7906,2371,0,10,23,40,2,1,2,3,2,0,4,1,4,3,3,0,38,37,10,1,8,intern,1,0
132,No,44,Male,Married,3,Medical,Research & Development,Laboratory Technician,Non-Travel,67,3,2,2,25043,3701,0,1,23,27,40,3,1,4,4,4,0,1,3,2,2,3,4,17,3,2,1,2,intern,0,0
133,Yes,37,Male,Divorced,4,Human Resources,Human Resources,Human Resources,Travel_Rarely,63,3,1,4,23648,8943,0,0,6,6,40,2,0,3,4,3,0,1,3,3,1,4,4,7,3,2,0,2,direct_recruiting,0,0
134,No,32,Male,Single,1,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,71,3,1,2,15178,8409,0,0,1,0,40,2,0,3,2,1,1,2,2,4,1,4,1,1,1,0,0,0,intern,1,0
137,Yes,20,Female,Single,3,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,66,2,1,3,19783,5473,0,0,6,20,40,4,1,3,1,1,0,4,5,4,4,2,1,1,1,0,1,0,intern,1,1
138,No,34,Female,Single,4,Other,Research & Development,Research Scientist,Travel_Rarely,41,3,2,3,12482,3570,1695,0,6,1,40,2,1,3,2,5,0,4,3,1,3,3,1,16,16,13,2,10,intern,1,1
139,No,37,Male,Divorced,2,Life Sciences,Research & Development,Healthcare Representative,Non-Travel,100,2,2,3,15850,7730,3671,1,2,0,40,4,1,4,1,2,1,3,2,3,4,4,5,17,1,0,0,0,intern,1,1
140,No,59,Female,Married,4,Human Resources,Human Resources,Manager,Non-Travel,32,2,5,4,21922,8265,0,1,2,26,40,5,1,3,1,1,1,4,3,3,4,4,9,30,3,2,2,2,intern,1,1
141,No,50,Female,Married,3,Life Sciences,Research & Development,Research Director,Travel_Frequently,73,3,5,4,9755,3352,0,0,1,8,40,2,0,2,3,3,0,1,1,1,2,1,3,28,8,3,0,7,intern,0,0
142,Yes,25,Male,Single,3,Marketing,Sales,Sales Executive,Travel_Rarely,46,2,2,1,26959,3749,0,0,5,14,40,2,0,3,4,3,0,2,1,3,3,4,1,6,6,4,0,3,agent_C,1,0
143,No,25,Male,Married,1,Medical,Research & Development,Research Scientist,Travel_Rarely,64,2,1,1,26897,7672,0,2,7,1,40,4,1,3,2,2,1,4,2,4,4,3,1,2,2,2,2,1,direct_recruiting,1,1
144,No,22,Female,Single,3,Medical,Research & Development,Laboratory Technician,Travel_Rarely,59,3,1,3,23785,8287,3936,0,15,28,40,4,0,3,3,3,0,1,5,2,4,3,1,1,0,0,0,0,agent_A,0,0
145,No,51,Female,Single,4,Medical,Research & Development,Healthcare Representative,Travel_Frequently,30,2,3,4,25796,5534,2767,0,1,3,40,2,1,2,2,3,0,4,1,1,1,3,3,23,13,12,12,8,intern,1,0
147,Yes,34,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,66,1,2,4,22887,10172,0,0,7,5,40,3,0,3,2,1,0,3,3,1,3,4,1,9,9,7,0,6,intern,1,0
148,No,54,Female,Single,3,Human Resources,Human Resources,Manager,Non-Travel,30,4,4,2,13871,2228,0,0,26,11,40,4,0,3,3,3,0,1,3,4,4,3,2,23,5,3,4,4,intern,0,0
150,No,24,Male,Married,1,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,52,3,1,3,13257,4709,2236,1,18,16,40,4,1,3,3,2,0,2,2,2,3,3,0,6,5,3,1,2,direct_recruiting,0,0
151,No,34,Female,Divorced,4,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,45,2,2,3,15000,8244,3915,1,6,26,40,3,1,3,2,2,0,2,3,3,2,3,6,12,1,0,0,0,intern,0,0
152,No,37,Male,Single,3,Life Sciences,Sales,Sales Executive,Travel_Rarely,87,3,3,2,14506,5982,0,0,3,0,40,4,1,3,1,1,1,4,3,3,4,1,2,12,5,3,1,3,intern,1,1
153,No,34,Female,Single,3,Medical,Research & Development,Manager,Travel_Rarely,45,2,3,2,5615,7881,0,0,5,34,40,0,0,3,2,1,0,1,6,3,1,4,2,14,11,10,5,8,intern,1,0
154,No,36,Female,Married,2,Technical Degree,Sales,Sales Executive,Travel_Frequently,92,3,3,3,22952,4619,2194,1,11,7,40,4,1,3,3,2,0,3,6,2,4,3,0,10,9,7,2,8,agent_A,0,0
155,No,36,Female,Divorced,2,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,39,3,1,4,2561,3341,0,1,3,26,40,4,1,3,1,1,1,4,2,1,4,1,5,7,1,0,0,0,direct_recruiting,1,1
158,No,43,Male,Married,2,Life Sciences,Sales,Manager,Travel_Frequently,92,3,4,2,19494,5513,1653,2,26,21,40,4,1,4,3,3,0,4,3,3,4,4,1,25,25,12,4,12,intern,1,0
159,No,30,Male,Divorced,3,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,96,1,1,4,22310,5147,2573,3,23,6,40,5,1,2,3,2,0,2,2,1,3,3,1,10,10,7,0,9,intern,0,0
160,No,33,Male,Married,2,Marketing,Sales,Sales Executive,Non-Travel,95,3,2,2,15480,7574,0,1,22,0,40,3,1,4,4,4,0,2,2,3,2,1,0,8,7,7,0,7,agent_B,0,0
